gene	gene_name	n_snps_in_model	n_snps_used	pred_perf_r2	pred_perf_pval
ENSG00000047315	NA	15	14.0	NA	NA
ENSG00000047346	NA	8	6.0	NA	NA
ENSG00000047365	NA	22	17.0	NA	NA
ENSG00000047410	NA	48	32.0	NA	NA
ENSG00000047457	NA	15	10.0	NA	NA
ENSG00000047578	NA	17	12.0	NA	NA
ENSG00000047579	NA	17	13.0	NA	NA
ENSG00000047617	NA	23	15.0	NA	NA
ENSG00000047662	NA	19	8.0	NA	NA
ENSG00000047932	NA	60	39.0	NA	NA
ENSG00000047936	NA	85	34.0	NA	NA
ENSG00000048028	NA	45	31.0	NA	NA
ENSG00000048052	NA	15	12.0	NA	NA
ENSG00000048140	NA	19	12.0	NA	NA
ENSG00000048162	NA	20	7.0	NA	NA
ENSG00000048342	NA	5	3.0	NA	NA
ENSG00000048392	NA	76	29.0	NA	NA
ENSG00000048405	NA	34	17.0	NA	NA
ENSG00000048471	NA	53	42.0	NA	NA
ENSG00000048540	NA	14	8.0	NA	NA
ENSG00000048544	NA	63	47.0	NA	NA
ENSG00000048545	NA	86	52.0	NA	NA
ENSG00000048649	NA	8	4.0	NA	NA
ENSG00000048991	NA	46	38.0	NA	NA
ENSG00000049130	NA	11	7.0	NA	NA
ENSG00000049167	NA	25	22.0	NA	NA
ENSG00000049192	NA	27	18.0	NA	NA
ENSG00000049239	NA	61	44.0	NA	NA
ENSG00000049245	NA	12	12.0	NA	NA
ENSG00000049246	NA	6	5.0	NA	NA
ENSG00000049283	NA	52	35.0	NA	NA
ENSG00000049323	NA	37	20.0	NA	NA
ENSG00000049449	NA	36	23.0	NA	NA
ENSG00000049540	NA	13	12.0	NA	NA
ENSG00000049656	NA	7	3.0	NA	NA
ENSG00000049860	NA	40	28.0	NA	NA
ENSG00000050130	NA	55	32.0	NA	NA
ENSG00000050165	NA	71	50.0	NA	NA
ENSG00000050327	NA	22	14.0	NA	NA
ENSG00000050393	NA	40	25.0	NA	NA
ENSG00000050426	NA	10	9.0	NA	NA
ENSG00000050438	NA	32	29.0	NA	NA
ENSG00000050555	NA	16	15.0	NA	NA
ENSG00000050628	NA	105	72.0	NA	NA
ENSG00000050730	NA	25	15.0	NA	NA
ENSG00000050748	NA	10	9.0	NA	NA
ENSG00000050767	NA	103	65.0	NA	NA
ENSG00000050820	NA	15	13.0	NA	NA
ENSG00000051108	NA	14	12.0	NA	NA
ENSG00000051128	NA	33	13.0	NA	NA
ENSG00000051596	NA	5	4.0	NA	NA
ENSG00000051620	NA	51	37.0	NA	NA
ENSG00000051825	NA	20	9.0	NA	NA
ENSG00000052126	NA	10	5.0	NA	NA
ENSG00000052723	NA	47	22.0	NA	NA
ENSG00000052749	NA	38	33.0	NA	NA
ENSG00000052795	NA	9	9.0	NA	NA
ENSG00000052802	NA	44	23.0	NA	NA
ENSG00000052841	NA	13	7.0	NA	NA
ENSG00000052850	NA	5	3.0	NA	NA
ENSG00000053108	NA	22	18.0	NA	NA
ENSG00000053254	NA	11	9.0	NA	NA
ENSG00000053328	NA	46	29.0	NA	NA
ENSG00000053371	NA	35	23.0	NA	NA
ENSG00000053372	NA	56	39.0	NA	NA
ENSG00000053524	NA	7	5.0	NA	NA
ENSG00000053702	NA	19	15.0	NA	NA
ENSG00000053747	NA	26	15.0	NA	NA
ENSG00000053770	NA	26	19.0	NA	NA
ENSG00000053900	NA	44	32.0	NA	NA
ENSG00000054116	NA	15	10.0	NA	NA
ENSG00000054179	NA	4	4.0	NA	NA
ENSG00000054219	NA	40	30.0	NA	NA
ENSG00000054277	NA	46	30.0	NA	NA
ENSG00000054282	NA	22	13.0	NA	NA
ENSG00000054356	NA	23	11.0	NA	NA
ENSG00000054392	NA	112	49.0	NA	NA
ENSG00000054523	NA	20	14.0	NA	NA
ENSG00000054611	NA	72	42.0	NA	NA
ENSG00000054654	NA	39	27.0	NA	NA
ENSG00000054793	NA	34	26.0	NA	NA
ENSG00000054803	NA	12	6.0	NA	NA
ENSG00000054938	NA	46	16.0	NA	NA
ENSG00000054965	NA	13	10.0	NA	NA
ENSG00000054967	NA	12	6.0	NA	NA
ENSG00000054983	NA	120	114.0	NA	NA
ENSG00000055044	NA	14	9.0	NA	NA
ENSG00000055130	NA	36	17.0	NA	NA
ENSG00000055147	NA	35	32.0	NA	NA
ENSG00000055208	NA	50	39.0	NA	NA
ENSG00000055211	NA	42	32.0	NA	NA
ENSG00000055332	NA	43	15.0	NA	NA
ENSG00000055483	NA	36	24.0	NA	NA
ENSG00000055609	NA	16	7.0	NA	NA
ENSG00000055732	NA	46	31.0	NA	NA
ENSG00000055813	NA	34	21.0	NA	NA
ENSG00000055950	NA	22	16.0	NA	NA
ENSG00000055955	NA	50	28.0	NA	NA
ENSG00000056050	NA	38	18.0	NA	NA
ENSG00000056097	NA	15	9.0	NA	NA
ENSG00000056291	NA	21	19.0	NA	NA
ENSG00000056487	NA	1	1.0	NA	NA
ENSG00000056558	NA	43	20.0	NA	NA
ENSG00000056736	NA	24	16.0	NA	NA
ENSG00000056972	NA	7	5.0	NA	NA
ENSG00000057019	NA	50	28.0	NA	NA
ENSG00000057252	NA	23	20.0	NA	NA
ENSG00000057294	NA	5	5.0	NA	NA
ENSG00000057468	NA	107	45.0	NA	NA
ENSG00000057593	NA	69	36.0	NA	NA
ENSG00000057608	NA	70	46.0	NA	NA
ENSG00000057663	NA	49	27.0	NA	NA
ENSG00000057704	NA	11	11.0	NA	NA
ENSG00000057935	NA	3	NA	NA	NA
ENSG00000058056	NA	28	16.0	NA	NA
ENSG00000058063	NA	19	10.0	NA	NA
ENSG00000058091	NA	68	37.0	NA	NA
ENSG00000058262	NA	16	11.0	NA	NA
ENSG00000058272	NA	5	5.0	NA	NA
ENSG00000058335	NA	22	11.0	NA	NA
ENSG00000058404	NA	10	7.0	NA	NA
ENSG00000058453	NA	154	71.0	NA	NA
ENSG00000058600	NA	9	2.0	NA	NA
ENSG00000058668	NA	17	13.0	NA	NA
ENSG00000058673	NA	11	9.0	NA	NA
ENSG00000058729	NA	40	26.0	NA	NA
ENSG00000058799	NA	44	31.0	NA	NA
ENSG00000058804	NA	16	13.0	NA	NA
ENSG00000058866	NA	40	31.0	NA	NA
ENSG00000059122	NA	63	41.0	NA	NA
ENSG00000059573	NA	18	13.0	NA	NA
ENSG00000059588	NA	1	NA	NA	NA
ENSG00000059691	NA	48	42.0	NA	NA
ENSG00000059728	NA	25	12.0	NA	NA
ENSG00000059758	NA	7	7.0	NA	NA
ENSG00000059769	NA	34	23.0	NA	NA
ENSG00000059915	NA	5	4.0	NA	NA
ENSG00000060069	NA	18	13.0	NA	NA
ENSG00000060138	NA	35	21.0	NA	NA
ENSG00000060140	NA	41	27.0	NA	NA
ENSG00000060491	NA	42	24.0	NA	NA
ENSG00000060558	NA	26	20.0	NA	NA
ENSG00000060566	NA	49	37.0	NA	NA
ENSG00000060642	NA	30	6.0	NA	NA
ENSG00000060656	NA	73	38.0	NA	NA
ENSG00000060688	NA	30	22.0	NA	NA
ENSG00000060709	NA	23	16.0	NA	NA
ENSG00000060718	NA	31	19.0	NA	NA
ENSG00000060749	NA	50	25.0	NA	NA
ENSG00000060762	NA	23	15.0	NA	NA
ENSG00000060971	NA	14	11.0	NA	NA
ENSG00000060982	NA	71	48.0	NA	NA
ENSG00000061273	NA	9	5.0	NA	NA
ENSG00000061337	NA	15	12.0	NA	NA
ENSG00000061455	NA	22	15.0	NA	NA
ENSG00000061492	NA	10	7.0	NA	NA
ENSG00000061656	NA	3	1.0	NA	NA
ENSG00000061676	NA	13	10.0	NA	NA
ENSG00000061794	NA	48	33.0	NA	NA
ENSG00000061938	NA	40	24.0	NA	NA
ENSG00000061987	NA	9	8.0	NA	NA
ENSG00000062038	NA	62	48.0	NA	NA
ENSG00000062282	NA	15	12.0	NA	NA
ENSG00000062370	NA	37	18.0	NA	NA
ENSG00000062485	NA	46	4.0	NA	NA
ENSG00000062524	NA	16	5.0	NA	NA
ENSG00000062650	NA	25	23.0	NA	NA
ENSG00000062716	NA	8	7.0	NA	NA
ENSG00000062725	NA	20	6.0	NA	NA
ENSG00000063015	NA	6	2.0	NA	NA
ENSG00000063046	NA	14	4.0	NA	NA
ENSG00000063127	NA	18	12.0	NA	NA
ENSG00000063176	NA	26	21.0	NA	NA
ENSG00000063180	NA	26	16.0	NA	NA
ENSG00000063241	NA	21	9.0	NA	NA
ENSG00000063322	NA	29	17.0	NA	NA
ENSG00000063660	NA	22	17.0	NA	NA
ENSG00000063761	NA	77	55.0	NA	NA
ENSG00000063854	NA	10	10.0	NA	NA
ENSG00000063978	NA	22	14.0	NA	NA
ENSG00000064012	NA	14	13.0	NA	NA
ENSG00000064042	NA	50	28.0	NA	NA
ENSG00000064102	NA	75	31.0	NA	NA
ENSG00000064115	NA	63	44.0	NA	NA
